SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,AODV,7.5
1,0,0,10,AODV,7.5
2,0,0,10,AODV,7.5
3,0,0,10,AODV,7.5
4,0,0,10,AODV,7.5
5,0,0,10,AODV,7.5
6,0,0,10,AODV,7.5
7,0,0,10,AODV,7.5
8,0,0,10,AODV,7.5
9,0,0,10,AODV,7.5
10,0,0,10,AODV,7.5
11,0,0,10,AODV,7.5
12,0,0,10,AODV,7.5
13,0,0,10,AODV,7.5
14,0,0,10,AODV,7.5
15,0,0,10,AODV,7.5
16,0,0,10,AODV,7.5
17,0,0,10,AODV,7.5
18,0,0,10,AODV,7.5
19,0,0,10,AODV,7.5
20,0,0,10,AODV,7.5
21,0,0,10,AODV,7.5
22,0,0,10,AODV,7.5
23,0,0,10,AODV,7.5
24,0,0,10,AODV,7.5
25,0,0,10,AODV,7.5
26,0,0,10,AODV,7.5
27,0,0,10,AODV,7.5
28,0,0,10,AODV,7.5
29,0,0,10,AODV,7.5
30,0,0,10,AODV,7.5
31,0,0,10,AODV,7.5
32,0,0,10,AODV,7.5
33,0,0,10,AODV,7.5
34,0,0,10,AODV,7.5
35,0,0,10,AODV,7.5
36,0,0,10,AODV,7.5
37,0,0,10,AODV,7.5
38,0,0,10,AODV,7.5
39,0,0,10,AODV,7.5
40,0,0,10,AODV,7.5
41,0,0,10,AODV,7.5
42,0,0,10,AODV,7.5
43,0,0,10,AODV,7.5
44,0,0,10,AODV,7.5
45,0,0,10,AODV,7.5
46,0,0,10,AODV,7.5
47,0,0,10,AODV,7.5
48,0,0,10,AODV,7.5
49,0,0,10,AODV,7.5
50,0,0,10,AODV,7.5
51,0,0,10,AODV,7.5
52,0,0,10,AODV,7.5
53,0,0,10,AODV,7.5
54,0,0,10,AODV,7.5
55,0,0,10,AODV,7.5
56,0,0,10,AODV,7.5
57,0,0,10,AODV,7.5
58,0,0,10,AODV,7.5
59,0,0,10,AODV,7.5
60,0,0,10,AODV,7.5
61,0,0,10,AODV,7.5
62,0,0,10,AODV,7.5
63,0,0,10,AODV,7.5
64,0,0,10,AODV,7.5
65,0,0,10,AODV,7.5
66,0,0,10,AODV,7.5
67,0,0,10,AODV,7.5
68,0,0,10,AODV,7.5
69,0,0,10,AODV,7.5
70,0,0,10,AODV,7.5
71,0,0,10,AODV,7.5
72,0,0,10,AODV,7.5
73,0,0,10,AODV,7.5
74,0,0,10,AODV,7.5
75,0,0,10,AODV,7.5
76,0,0,10,AODV,7.5
77,0,0,10,AODV,7.5
78,0,0,10,AODV,7.5
79,0,0,10,AODV,7.5
80,0,0,10,AODV,7.5
81,0,0,10,AODV,7.5
82,0,0,10,AODV,7.5
83,0,0,10,AODV,7.5
84,0,0,10,AODV,7.5
85,0,0,10,AODV,7.5
86,0,0,10,AODV,7.5
87,0,0,10,AODV,7.5
88,0,0,10,AODV,7.5
89,0,0,10,AODV,7.5
90,0,0,10,AODV,7.5
91,0,0,10,AODV,7.5
92,0,0,10,AODV,7.5
93,0,0,10,AODV,7.5
94,0,0,10,AODV,7.5
95,0,0,10,AODV,7.5
96,0,0,10,AODV,7.5
97,0,0,10,AODV,7.5
98,0,0,10,AODV,7.5
99,0,0,10,AODV,7.5
100,0,0,10,AODV,7.5
101,3.072,6,10,AODV,7.5
102,14.848,29,10,AODV,7.5
103,13.824,27,10,AODV,7.5
104,20.992,41,10,AODV,7.5
105,18.432,36,10,AODV,7.5
106,15.36,30,10,AODV,7.5
107,19.968,39,10,AODV,7.5
108,18.432,36,10,AODV,7.5
109,17.92,35,10,AODV,7.5
110,14.336,28,10,AODV,7.5
111,14.848,29,10,AODV,7.5
112,14.336,28,10,AODV,7.5
113,16.896,33,10,AODV,7.5
114,14.848,29,10,AODV,7.5
115,14.848,29,10,AODV,7.5
116,11.776,23,10,AODV,7.5
117,11.776,23,10,AODV,7.5
118,11.776,23,10,AODV,7.5
119,18.432,36,10,AODV,7.5
120,16.384,32,10,AODV,7.5
121,18.432,36,10,AODV,7.5
122,17.92,35,10,AODV,7.5
123,16.384,32,10,AODV,7.5
124,16.384,32,10,AODV,7.5
125,13.824,27,10,AODV,7.5
126,14.848,29,10,AODV,7.5
127,13.312,26,10,AODV,7.5
128,14.336,28,10,AODV,7.5
129,12.8,25,10,AODV,7.5
130,12.288,24,10,AODV,7.5
131,12.288,24,10,AODV,7.5
132,13.824,27,10,AODV,7.5
133,11.264,22,10,AODV,7.5
134,10.752,21,10,AODV,7.5
135,15.872,31,10,AODV,7.5
136,10.24,20,10,AODV,7.5
137,19.456,38,10,AODV,7.5
138,13.824,27,10,AODV,7.5
139,12.288,24,10,AODV,7.5
140,13.824,27,10,AODV,7.5
141,11.776,23,10,AODV,7.5
142,12.288,24,10,AODV,7.5
143,8.704,17,10,AODV,7.5
144,11.776,23,10,AODV,7.5
145,9.216,18,10,AODV,7.5
146,12.8,25,10,AODV,7.5
147,11.264,22,10,AODV,7.5
148,11.264,22,10,AODV,7.5
149,9.728,19,10,AODV,7.5
150,14.848,29,10,AODV,7.5
151,9.728,19,10,AODV,7.5
152,8.704,17,10,AODV,7.5
153,10.752,21,10,AODV,7.5
154,11.264,22,10,AODV,7.5
155,9.216,18,10,AODV,7.5
156,11.776,23,10,AODV,7.5
157,8.192,16,10,AODV,7.5
158,10.752,21,10,AODV,7.5
159,7.68,15,10,AODV,7.5
160,12.8,25,10,AODV,7.5
161,15.872,31,10,AODV,7.5
162,11.776,23,10,AODV,7.5
163,9.728,19,10,AODV,7.5
164,7.68,15,10,AODV,7.5
165,10.24,20,10,AODV,7.5
166,8.704,17,10,AODV,7.5
167,13.824,27,10,AODV,7.5
168,13.824,27,10,AODV,7.5
169,13.824,27,10,AODV,7.5
170,12.8,25,10,AODV,7.5
171,11.264,22,10,AODV,7.5
172,15.872,31,10,AODV,7.5
173,13.312,26,10,AODV,7.5
174,14.336,28,10,AODV,7.5
175,12.288,24,10,AODV,7.5
176,14.336,28,10,AODV,7.5
177,14.336,28,10,AODV,7.5
178,11.776,23,10,AODV,7.5
179,17.92,35,10,AODV,7.5
180,18.944,37,10,AODV,7.5
181,17.408,34,10,AODV,7.5
182,14.336,28,10,AODV,7.5
183,9.728,19,10,AODV,7.5
184,7.68,15,10,AODV,7.5
185,13.312,26,10,AODV,7.5
186,9.728,19,10,AODV,7.5
187,9.728,19,10,AODV,7.5
188,11.776,23,10,AODV,7.5
189,10.24,20,10,AODV,7.5
190,10.24,20,10,AODV,7.5
191,9.728,19,10,AODV,7.5
192,13.312,26,10,AODV,7.5
193,11.776,23,10,AODV,7.5
194,11.264,22,10,AODV,7.5
195,8.192,16,10,AODV,7.5
196,7.168,14,10,AODV,7.5
197,11.264,22,10,AODV,7.5
198,15.36,30,10,AODV,7.5
199,11.264,22,10,AODV,7.5
